               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11756,            0.031138,                   0,             0.06448,            0.074074,           0.0097434,           0.0018595,            0.089439,            0.025344,                   0,             0.00024,             0.00024,             0.09784
                   1,             0.10337,            0.028188,                   0,            0.033711,             0.08642,           0.0077361,           0.0014585,            0.077195,            0.024984,                   0,          0.00048956,          0.00048956,             0.09559
                   2,             0.09169,            0.031795,                   0,            0.047485,            0.037037,           0.0091541,            0.002092,            0.069183,            0.024386,                   0,          0.00073737,          0.00073737,            0.093337
                   3,            0.080432,            0.026702,                   0,            0.030743,             0.22222,            0.013684,           0.0027598,            0.063745,             0.02313,                   0,          0.00098211,          0.00098211,            0.091082
                   4,            0.074846,             0.03084,                   0,            0.078612,             0.18519,            0.059982,            0.012747,            0.058696,            0.022308,                   0,           0.0012225,           0.0012225,            0.088822
                   5,            0.078664,            0.035374,                   0,             0.45084,             0.35802,             0.30602,             0.06722,            0.056124,            0.020598,                   0,           0.0014572,           0.0014572,            0.086557
                   6,            0.069575,            0.029259,                   0,             0.58272,             0.60344,             0.53833,             0.13138,            0.051111,            0.019217,                   0,            0.001685,            0.001685,            0.084285
                   7,            0.068063,            0.030403,                   0,             0.16073,             0.64198,             0.14937,            0.033952,            0.062083,            0.016739,                   0,           0.0019048,           0.0019048,            0.082005
                   8,            0.064139,            0.027086,                   0,             0.81585,             0.61728,             0.73041,             0.23095,            0.053737,            0.017171,                   0,           0.0021153,           0.0021153,            0.079715
                   9,            0.065354,            0.025356,                   0,              0.2156,             0.76543,             0.20444,            0.068601,            0.069897,            0.014541,                   0,           0.0023156,           0.0023156,            0.077416
                  10,            0.065233,            0.026625,                   0,             0.74347,             0.82716,             0.78743,             0.20074,            0.048009,            0.015279,                   0,           0.0025045,           0.0025045,            0.075105
                  11,            0.054193,            0.017545,                   0,             0.54032,             0.64198,             0.57075,             0.12302,            0.051762,            0.014224,                   0,           0.0026812,           0.0026812,            0.072781
                  12,            0.059518,            0.025321,                   0,             0.41542,             0.69136,             0.47418,             0.12288,            0.050364,             0.01332,                   0,           0.0028448,           0.0028448,            0.070445
                  13,            0.058189,            0.021857,                   0,             0.50744,             0.68683,             0.57085,             0.21217,            0.055553,            0.012341,                   0,           0.0029946,           0.0029946,            0.068095
                  14,            0.052115,            0.017557,                   0,             0.54487,             0.88889,             0.58891,              0.1535,            0.048888,            0.012843,                   0,           0.0031298,           0.0031298,             0.06573
                  15,            0.053612,            0.019146,                   0,             0.47589,              0.8642,             0.48058,               0.164,            0.050047,            0.012158,                   0,           0.0032499,           0.0032499,             0.06335
                  16,            0.056418,            0.023693,                   0,             0.32594,             0.77778,             0.33979,            0.083465,            0.042573,            0.012259,                   0,           0.0033544,           0.0033544,            0.060954
                  17,            0.056417,            0.015537,                   0,             0.36767,             0.65432,              0.3202,            0.056876,            0.054067,            0.011524,                   0,           0.0034429,           0.0034429,            0.058543
                  18,            0.057569,            0.019657,                   0,             0.48299,             0.71508,             0.46402,            0.096865,            0.044969,            0.011978,                   0,           0.0035152,           0.0035152,            0.056115
                  19,            0.059266,            0.017219,                   0,             0.48848,             0.83951,             0.47495,             0.13104,             0.04205,            0.011937,                   0,           0.0035711,           0.0035711,            0.053671
                  20,            0.048878,            0.014777,                   0,             0.59792,             0.90123,             0.61695,             0.26728,             0.03549,            0.012197,                   0,           0.0036107,           0.0036107,            0.051211
                  21,            0.045199,            0.016495,                   0,             0.53504,             0.88081,             0.55725,             0.18948,            0.039725,             0.01175,                   0,           0.0036339,           0.0036339,            0.048734
                  22,            0.049972,            0.018648,                   0,             0.50678,             0.88797,             0.51643,             0.13175,            0.047388,            0.011257,                   0,            0.003641,            0.003641,            0.046241
                  23,            0.058053,            0.018962,                   0,             0.60851,             0.82517,             0.63186,             0.20042,            0.048432,            0.010592,                   0,           0.0036323,           0.0036323,            0.043732
                  24,             0.05523,            0.016048,                   0,             0.38907,             0.91358,             0.40086,              0.1273,            0.047343,            0.010006,                   0,           0.0036083,           0.0036083,            0.041208
                  25,            0.054746,            0.018225,                   0,             0.52097,             0.91358,              0.6614,             0.24016,            0.045807,            0.010007,                   0,           0.0035695,           0.0035695,             0.03867
                  26,            0.048982,            0.017591,                   0,             0.57256,             0.71605,             0.62265,             0.21996,            0.046854,            0.010325,                   0,           0.0035166,           0.0035166,            0.036117
                  27,            0.052708,            0.012574,                   0,             0.54116,             0.71605,             0.67355,             0.25683,            0.036778,            0.010283,                   0,           0.0034503,           0.0034503,             0.03355
                  28,            0.044682,            0.014811,                   0,             0.63146,             0.96296,             0.72476,             0.35068,            0.030619,            0.010248,                   0,           0.0033715,           0.0033715,            0.030972
                  29,            0.049601,            0.017436,                   0,             0.49351,             0.54321,             0.33584,             0.04675,            0.056054,           0.0085656,                   0,           0.0032813,           0.0032813,            0.028381
                  30,            0.056104,            0.014406,                   0,             0.96409,                   1,             0.98826,              0.6219,              0.0272,           0.0094613,                   0,           0.0031807,           0.0031807,            0.025781
                  31,            0.046054,            0.015831,                   0,             0.62632,             0.66667,              0.5622,             0.12971,            0.041909,           0.0089439,                   0,           0.0030709,           0.0030709,            0.023171
                  32,            0.051746,            0.015207,                   0,             0.95217,             0.98765,             0.98265,             0.36662,            0.030897,           0.0098623,                   0,           0.0029532,           0.0029532,            0.020553
                  33,            0.039533,            0.014595,                   0,             0.88154,             0.92593,             0.89369,             0.26123,            0.034171,           0.0096149,                   0,            0.002829,            0.002829,            0.017929
                  34,            0.039611,            0.013998,                   0,             0.80189,             0.99942,              0.8971,             0.52499,            0.028714,           0.0094956,                   0,           0.0026996,           0.0026996,              0.0153
                  35,            0.041187,            0.016452,                   0,             0.69178,                   1,             0.80777,             0.36113,            0.036568,           0.0085849,                   0,           0.0025666,           0.0025666,            0.012667
                  36,            0.040317,            0.014632,                   0,             0.80096,             0.95062,             0.90161,              0.4293,            0.028846,           0.0084669,                   0,           0.0024316,           0.0024316,            0.010032
                  37,            0.038427,            0.014411,                   0,             0.88835,             0.98765,             0.93263,             0.47963,            0.029552,           0.0082649,                   0,           0.0022961,           0.0022961,           0.0073961
                  38,            0.036844,            0.013093,                   0,             0.91913,             0.98765,             0.96119,             0.60857,            0.027698,            0.007983,                   0,           0.0021619,           0.0021619,           0.0047619
                  39,            0.036515,            0.014872,                   0,             0.92009,                   1,             0.97304,             0.55226,            0.026618,           0.0077632,                   0,           0.0020307,           0.0020307,           0.0021307
                  40,            0.034222,            0.013202,                   0,             0.95227,             0.98765,             0.97502,             0.54499,            0.027687,           0.0076758,                   0,           0.0018594,           0.0018594,           0.0018594
                  41,            0.033359,            0.013916,                   0,             0.94101,             0.98765,              0.9694,             0.54167,            0.028703,           0.0074617,                   0,           0.0018594,           0.0018594,           0.0018594
                  42,            0.034185,            0.012727,                   0,              0.9759,             0.99969,             0.98242,             0.54931,            0.027238,           0.0075579,                   0,           0.0017005,           0.0017005,           0.0017005
                  43,            0.033465,            0.011592,                   0,             0.91951,             0.98731,             0.98297,             0.56646,            0.027094,            0.007391,                   0,           0.0015566,           0.0015566,           0.0015566
                  44,            0.032461,             0.01194,                   0,              0.9759,              0.9999,             0.99006,             0.52585,            0.025528,           0.0073591,                   0,           0.0014283,           0.0014283,           0.0014283
                  45,            0.030447,            0.012478,                   0,              0.9759,                   1,             0.99315,             0.64123,            0.024756,           0.0072726,                   0,            0.001316,            0.001316,            0.001316
                  46,            0.029959,            0.012146,                   0,             0.96408,                   1,             0.99251,             0.61742,            0.024128,           0.0072867,                   0,           0.0012202,           0.0012202,           0.0012202
                  47,             0.03083,            0.013239,                   0,              0.9759,             0.99995,             0.99302,             0.55321,            0.027574,           0.0071587,                   0,           0.0011414,           0.0011414,           0.0011414
                  48,            0.027908,            0.010095,                   0,             0.97581,                   1,             0.99263,             0.59745,            0.025165,           0.0071589,                   0,           0.0010797,           0.0010797,           0.0010797
                  49,             0.03015,            0.011938,                   0,              0.9759,             0.99996,             0.99213,              0.6475,            0.024197,           0.0069926,                   0,           0.0010355,           0.0010355,           0.0010355
